number,Title,Year,genre,runtime,Ranking,voteing
181.,Beowulf,1999,"Action, Adventure, Fantasy            ",95 min,4.1,"
Votes:
11,902
"
182.,Setup,I 2011,"Action, Crime, Drama            ",85 min,4.4,"
Votes:
21,193
"
183.,Cabin Fever 2: Spring Fever,2009,Horror            ,86 min,4.2,"
Votes:
13,814
"
184.,One Missed Call,2008,"Horror, Mystery            ",87 min,4.0,"
Votes:
32,245
| Gross:
$26.88M

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245

32,245
"
185.,Superbabies: Baby Geniuses 2,2004,"Comedy, Family, Sci-Fi            ",88 min,1.5,"
Votes:
30,988
| Gross:
$9.11M

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988

30,988
"
186.,Look Who's Talking Now,1993,"Comedy, Family, Romance            ",96 min,4.3,"
Votes:
29,290
| Gross:
$10.34M

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290

29,290
"
187.,Bucky Larson: Born to Be a Star,2011,Comedy            ,97 min,3.3,"
Votes:
12,001
| Gross:
$2.33M

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001

12,001
"
188.,Singularity,I 2017,"Action, Adventure, Drama            ",92 min,3.7,"
Votes:
14,582
| Gross:
$0.00M

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582

14,582
"
189.,Police Academy: Mission to Moscow,1994,"Comedy, Crime            ",83 min,3.4,"
Votes:
33,795
| Gross:
$0.13M

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795

33,795
"
190.,Radhe,2021,"Action, Crime, Thriller            ",135 min,1.9,"
Votes:
176,711
"
191.,Hobgoblins,1988,"Comedy, Horror, Sci-Fi            ",88 min,2.0,"
Votes:
12,966
"
192.,The Apparition,2012,"Horror, Thriller            ",82 min,4.1,"
Votes:
19,887
| Gross:
$4.93M

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887

19,887
"
193.,Meet the Blacks,2016,"Comedy, Horror            ",94 min,4.8,"
Votes:
36,471
| Gross:
$9.09M

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471

36,471
"
194.,Feardotcom,2002,"Crime, Horror, Thriller            ",101 min,3.4,"
Votes:
21,454
| Gross:
$13.21M

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454

21,454
"
195.,Devil's Due,2014,"Horror, Mystery            ",89 min,4.1,"
Votes:
16,712
| Gross:
$15.82M

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712

16,712
"
196.,Dragon Wars: D-War,2007,"Action, Drama, Fantasy            ",107 min,3.5,"
Votes:
24,448
| Gross:
$10.98M

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448

24,448
"
197.,Pledge This!,2006,Comedy            ,91 min,1.6,"
Votes:
18,324
"
198.,Material Girls,2006,"Comedy, Family, Romance            ",98 min,3.9,"
Votes:
22,249
| Gross:
$11.44M

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249

22,249
"
199.,Universal Soldier: The Return,1999,"Action, Sci-Fi            ",83 min,4.1,"
Votes:
29,288
| Gross:
$10.43M

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288

29,288
"
200.,V/H/S Viral,2014,"Horror, Thriller            ",81 min,4.2,"
Votes:
16,729
| Gross:
$0.00M

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729

16,729
"
201.,Getaway,I 2013,"Action, Thriller            ",90 min,4.4,"
Votes:
24,215
| Gross:
$10.49M

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215

24,215
"
202.,Dance Flick,2009,"Action, Comedy, Music            ",83 min,3.5,"
Votes:
12,324
| Gross:
$25.62M

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324

12,324
"
203.,The Adventures of Pluto Nash,2002,"Action, Comedy, Sci-Fi            ",95 min,3.8,"
Votes:
25,785
| Gross:
$4.42M

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785

25,785
"
204.,"Big Mommas: Like Father, Like Son",2011,"Action, Comedy, Crime            ",107 min,4.4,"
Votes:
27,370
| Gross:
$37.92M

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370

27,370
"
205.,Highlander: The Final Dimension,1994,"Action, Fantasy, Romance            ",99 min,4.4,"
Votes:
20,960
| Gross:
$13.83M

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960

20,960
"
206.,The Gallows,2015,"Horror, Mystery, Thriller            ",81 min,4.2,"
Votes:
20,487
| Gross:
$22.76M

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487

20,487
"
207.,Area 51,2015,"Horror, Mystery, Sci-Fi            ",91 min,4.2,"
Votes:
14,200
"
208.,Mr. Magoo,1997,"Adventure, Comedy, Family            ",87 min,4.0,"
Votes:
15,261
| Gross:
$21.38M

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261

15,261
"
209.,The Devil Inside,2012,Horror            ,83 min,4.2,"
Votes:
35,937
| Gross:
$53.26M

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937

35,937
"
210.,The Patriot,1998,"Action, Thriller            ",90 min,4.1,"
Votes:
12,589
"
211.,Student of the Year 2,2019,"Action, Comedy, Drama            ",146 min,2.1,"
Votes:
21,415
| Gross:
$0.78M

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415

21,415
"
212.,Far Cry,2008,"Action, Adventure, Sci-Fi            ",95 min,3.2,"
Votes:
14,030
"
213.,Kirk Cameron's Saving Christmas,2014,"Comedy, Family            ",79 min,1.3,"
Votes:
15,850
| Gross:
$2.78M

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850

15,850
"
214.,Are We Done Yet?,2007,"Comedy, Family            ",92 min,4.2,"
Votes:
21,101
| Gross:
$49.63M

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101

21,101
"
215.,Who's Your Caddy?,2007,"Comedy, Sport            ",93 min,2.2,"
Votes:
15,032
| Gross:
$5.69M

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032

15,032
"
216.,Police Academy 6: City Under Siege,1989,"Comedy, Crime            ",84 min,4.3,"
Votes:
31,084
| Gross:
$11.57M

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084

31,084
"
217.,Baaghi 3,2020,"Action, Adventure, Thriller            ",143 min,2.1,"
Votes:
12,243
"
218.,Vice,2015,"Action, Sci-Fi, Thriller            ",96 min,4.2,"
Votes:
16,393
"
219.,Delta Farce,2007,"Action, Adventure, Comedy            ",90 min,3.6,"
Votes:
11,156
| Gross:
$8.07M

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156

11,156
"
220.,Dudley Do-Right,1999,"Comedy, Family, Romance            ",77 min,3.9,"
Votes:
10,657
| Gross:
$9.69M

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657

10,657
"
221.,Cats & Dogs: The Revenge of Kitty Galore,2010,"Animation, Action, Adventure            ",82 min,4.3,"
Votes:
15,156
| Gross:
$43.59M

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156

15,156
"
222.,College Road Trip,2008,"Adventure, Comedy, Drama            ",83 min,4.3,"
Votes:
16,045
| Gross:
$45.59M

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045

16,045
"
223.,Wing Commander,1999,"Action, Adventure, Sci-Fi            ",100 min,4.3,"
Votes:
16,817
| Gross:
$11.58M

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817

16,817
"
224.,Daddy Day Camp,2007,"Comedy, Family            ",93 min,3.1,"
Votes:
16,753
| Gross:
$13.24M

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753

16,753
"
225.,Ballistic: Ecks vs. Sever,2002,"Action, Crime, Mystery            ",91 min,3.6,"
Votes:
20,025
| Gross:
$14.29M

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025

20,025
"
226.,Housefull 4,2019,"Action, Comedy, Drama            ",145 min,3.5,"
Votes:
12,587
"
227.,Glitter,2001,"Drama, Music, Romance            ",104 min,2.3,"
Votes:
23,462
| Gross:
$4.27M

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462

23,462
"
228.,Race 3,2018,"Action, Crime, Thriller            ",160 min,1.9,"
Votes:
46,116
| Gross:
$1.69M

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116

46,116
"
229.,Tubelight,2017,"Drama, War            ",136 min,3.9,"
Votes:
20,113
| Gross:
$0.93M

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113

20,113
"
230.,The Last Exorcism Part II,2013,"Horror, Thriller            ",88 min,4.0,"
Votes:
16,315
| Gross:
$15.18M

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315

16,315
"
231.,Santa Claus Conquers the Martians,1964,"Adventure, Comedy, Family            ",81 min,2.6,"
Votes:
11,746
"
232.,The Cost of Deception,2021,"Crime, Drama, History            ",125 min,1.5,"
Votes:
37,866
"
233.,Laxmii,2020,"Action, Comedy, Horror            ",141 min,2.6,"
Votes:
56,820
"
234.,2001: A Space Travesty,2000,"Comedy, Sci-Fi            ",99 min,3.4,"
Votes:
12,045
"
235.,Bats,1999,"Horror, Sci-Fi, Thriller            ",91 min,3.9,"
Votes:
10,499
| Gross:
$10.16M

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499

10,499
"
236.,Gunday,2014,"Action, Drama, Musical            ",152 min,2.6,"
Votes:
58,984
"
237.,Daniel the Wizard,2004,"Comedy, Crime, Fantasy            ",81 min,1.2,"
Votes:
14,368
"
238.,Dabangg 3,2019,"Action, Comedy, Crime            ",160 min,3.0,"
Votes:
18,684
"
239.,Turks in Space,2006,"Action, Comedy, Sci-Fi            ",110 min,1.5,"
Votes:
16,255
"
240.,Veere Di Wedding,2018,Comedy            ,135 min,3.3,"
Votes:
12,767
"
241.,Larry the Cable Guy: Health Inspector,2006,"Comedy, Romance            ",89 min,3.5,"
Votes:
13,205
| Gross:
$15.66M

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205

13,205
"
242.,11-11-11,2011,"Horror, Mystery, Thriller            ",90 min,3.9,"
Votes:
12,354
"
243.,Tees Maar Khan,2010,"Comedy, Crime            ",135 min,2.5,"
Votes:
12,739
| Gross:
$1.08M

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739

12,739
"
244.,Smolensk,2016,"Drama, Thriller            ",120 min,1.2,"
Votes:
39,634
"
245.,Recep Ivedik 3,2010,Comedy            ,95 min,4.1,"
Votes:
19,088
"
246.,Enes Batur,2018,Comedy            ,110 min,2.0,"
Votes:
55,106
"
247.,The Oogieloves in the Big Balloon Adventure,2012,"Adventure, Family, Fantasy            ",88 min,1.7,"
Votes:
15,318
| Gross:
$1.06M

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318

15,318
"
248.,Judwaa 2,2017,"Action, Comedy            ",145 min,3.6,"
Votes:
10,655
| Gross:
$1.43M

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655

10,655
"
249.,Recep Ivedik 4,2014,Comedy            ,117 min,3.7,"
Votes:
16,595
"
250.,Recep Ivedik 5,2017,Comedy            ,114 min,3.3,"
Votes:
16,085
"
